,Unnamed: 0,created_at,tweet_id,receiver_name,receiver_id,tweet_text,screen_name,name,account_creation_date,urls,preprocess_tweet,Positive,Negative,Compound,Sentiment,label
47,47,2022-04-25 17:05:55+00:00,1518637439547547648,MDMEMA,16999795,"even if you don’t live next to a water source, small amounts of ran can overwhelm your neighborhood or city infrast… ",MDMEMA,Maryland Department of Emergency Management (MDEM),Mon Oct 27 14:59:30 +0000 2008,"[{'url': 'https://t.co/JFO6UAtTOg', 'expanded_url': 'https://twitter.com/i/web/status/1518637439547547648', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",even live next water source small amounts ran overwhelm neighborhood city infrast,0.0,0.134,-0.1779,Negative,0
48,48,2022-04-25 17:05:53+00:00,1518637431968444419,,,rt @madiboity: are we going to avoid the fact that apartheid houses are still standing in kzn after the floods and post 1994 developments h…,Lerato44491890,Lerato Mphahlele,Mon Mar 04 14:02:45 +0000 2019,[],going avoid fact apaheid houses still standing kzn floods post developments h,0.0,0.18,-0.296,Negative,0
49,49,2022-04-25 17:05:47+00:00,1518637405322067969,,,rt @nativeofmzantsi: so now foreigners in kzn are saying their immigration documents have been lost in thr floods?😂 the dog ate my homework…,baldeo_kavish,@Touche,Wed Mar 23 11:38:54 +0000 2022,[],foreigners kzn saying immigration documents lost thr floods dog ate homework,0.0,0.187,-0.3182,Negative,0
50,50,2022-04-25 17:05:39+00:00,1518637374854639623,,,"rt @dasmodeler: say it with me:

“these floods are god’s way of telling employers that permanent wfh should be the new norm. also, no pay c…",nabilahudatahar,The Huda 🏴,Sat Jul 25 09:23:34 +0000 2009,[],say floods god way telling employers permanent wfh new norm also pay c,0.156,0.104,0.1779,Positive,1
51,51,2022-04-25 17:05:31+00:00,1518637341241638912,,,"rt @notsoaidil: chulalongkorn park in bangkok, thailand keeps the city safe from floods. it can hold one million gallons of water during se…",naili_shahira,nelly✨,Thu Nov 12 08:16:26 +0000 2015,[],chulalongkorn park bangkok thailand keeps city safe floods hold one million gallons water se,0.182,0.0,0.4404,Positive,1
52,52,2022-04-25 17:05:30+00:00,1518637334056497152,,,"thad be cool if i’m the event of an emergency, somehow we could still communicate thru twitter like lots of recent… ",pinuppress,The Goods,Wed Feb 15 16:35:36 +0000 2012,"[{'url': 'https://t.co/Cy9XRqT2Kr', 'expanded_url': 'https://twitter.com/i/web/status/1518637334056497152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",thad cool event emergency somehow could still communicate thru twitter like lots recent,0.276,0.149,0.296,Positive,1
53,53,2022-04-25 17:05:22+00:00,1518637304130293761,,,"rt @sandf_za: food and water supplies donated by companies and individuals, following the recent floods, were delivered to marianhill on sa…",LampieSamoa,LampieSamoa🇿🇦,Wed Nov 07 15:13:52 +0000 2018,[],food water supplies donated companies individuals following recent floods delivered marianhill sa,0.0,0.0,0.0,Negative,0
54,54,2022-04-25 17:05:01+00:00,1518637216297545735,,,"rt @newsbfm: 1. kl was hit by flash floods following continuous heavy rain earlier this afternoon, causing massive jams across the klang va…",TheGadisPilah,Anna Syazana ®,Wed Sep 06 15:38:59 +0000 2017,[],kl hit flash floods following continuous heavy rain earlier afternoon causing massive jams across klang va,0.0,0.0,0.0,Negative,0
55,55,2022-04-25 17:04:49+00:00,1518637163402780672,,,rt @gauravgogoiasm: drove a jcb near kaziranga today to build elevated shelters which will protect people and their livestock at the time o…,kirti1064,Kirti Prakash Pandey,Tue Sep 16 16:07:31 +0000 2014,[],drove jcb near kaziranga today build elevated shelters protect people livestock time,0.191,0.0,0.3818,Positive,1
56,56,2022-04-25 17:04:48+00:00,1518637161658081280,,,rt @musakhawula: bobo mbele on the kzn floods. ,Zamazophilazn,Zamazophila,Wed Jul 07 19:05:32 +0000 2021,[],bobo mbele kzn floods,0.0,0.0,0.0,Negative,0
57,57,2022-04-25 17:04:46+00:00,1518637150534778880,,,rt @musakhawula: bobo mbele on the kzn floods. ,Kho_mjwara,Kholwani Mjwara,Tue Jan 29 08:36:20 +0000 2013,[],bobo mbele kzn floods,0.0,0.0,0.0,Negative,0
58,58,2022-04-25 17:04:43+00:00,1518637139298246657,,,"rt @_globalcrisis_: synchronization of cataclysms | #fires #tornado #snowfall #floods #landslides 

today, it is necessary to urgently cons…",IreneKoch_,Irene Koch,Sun Aug 22 14:10:39 +0000 2021,[],synchronization cataclysms #fires #tornado #snowfall #floods #landslides today necessary urgently cons,0.0,0.0,0.0,Negative,0
59,59,2022-04-25 17:04:34+00:00,1518637101125885954,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,zara_taza,Zara 🌺,Thu Sep 17 03:07:46 +0000 2020,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
60,60,2022-04-25 17:04:34+00:00,1518637099486158848,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,sabilamusa,알리야 •,Sat May 24 03:30:50 +0000 2014,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
61,61,2022-04-25 17:04:26+00:00,1518637067416264704,,,"rt @marieastridbl: @redcrosssa continues to respond to the needs of the people affected by the deadly floods in durban, south africa. they…",PamelaMhlanga81,Pamela Mhlanga,Mon Nov 08 18:11:47 +0000 2021,[],continues respond needs people affected deadly floods durban south africa,0.0,0.151,-0.1531,Negative,0
62,62,2022-04-25 17:04:24+00:00,1518637058448896001,,,"rt @_bonga: kzn revised the cost of the floods from r950bn to r17bn? 

😂😂😂😂😂😂😂😂😂😂😂",Snezy_Sibiya,Snezy_Sibiya,Wed May 08 11:31:01 +0000 2013,[],kzn revised cost floods r bn r bn,0.0,0.0,0.0,Negative,0
63,63,2022-04-25 17:04:06+00:00,1518636985430286339,,,"rt @wckitchen: scenes from our food kit delivery in umlazi, south africa! 📸 over the weekend, wck partner gift of the givers brought 600 fo…",UrbanMutant1,Danyell,Sun Dec 14 20:19:42 +0000 2014,[],scenes food kit delivery umlazi south africa weekend wck paner gift givers brought fo,0.318,0.0,0.6808,Positive,1
64,64,2022-04-25 17:04:00+00:00,1518636959819649025,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,Sweetlemonhope,Mia,Tue Feb 07 10:43:17 +0000 2012,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
65,65,2022-04-25 17:03:54+00:00,1518636933080969216,,,"rt @shivadarling07: he donoted highest amount of money to the government at the time of corona crisis
he donoted 1cr for hyderabad floods…",PrabhasDevotee_,Nithinᴬᵈⁱᵖᵘʳᵘˢʰ 🏹,Tue Oct 22 12:26:51 +0000 2019,[],donoted highest amount money government time corona crisis donoted cr hyderabad floods,0.0,0.272,-0.6249,Negative,0
66,66,2022-04-25 17:03:45+00:00,1518636897370783747,robrousseau,18000989,@robrousseau oh look the subways are immune to surface weather biblical floods ,coneylove,Coney Love,Wed Apr 30 01:30:00 +0000 2008,[],oh look subways immune surface weather biblical floods,0.239,0.0,0.296,Positive,1
67,67,2022-04-25 17:03:15+00:00,1518636769167564801,,,rt @dr_ezhilan: in thousand lights we discuss with our residents who worked with us during floods to implement storm water drain system in…,JMageshdmk,Mageswaran J,Sat Apr 07 13:35:12 +0000 2018,[],thousand lights discuss residents worked us floods implement storm water drain system,0.0,0.0,0.0,Negative,0
68,68,2022-04-25 17:03:10+00:00,1518636749953589249,kaicluan9,2750225111,"floods, foda. difícil.",kaicluan9,kaic luan,Fri Aug 22 18:36:46 +0000 2014,[],floods foda dif cil,0.0,0.0,0.0,Negative,0
69,69,2022-04-25 17:03:09+00:00,1518636746669449216,monkeynotpigsy,1.10E+18,@monkeynotpigsy floods of tears!!,craig_c83,Craig Campbell,Wed Mar 01 20:47:26 +0000 2017,[],floods tears,0.0,0.655,-0.2263,Negative,0
70,70,2022-04-25 17:03:05+00:00,1518636728881278976,,,"until the hurricane floods it, moron. a perfect example of the fraud the @elonmusk is. he pays people, has them sig… ",elonmuskisapos,Fat Elon,Wed Apr 06 22:49:50 +0000 2022,"[{'url': 'https://t.co/wCk6zAMrtB', 'expanded_url': 'https://twitter.com/i/web/status/1518636728881278976', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",hurricane floods moron perfect example fraud pays people sig,0.222,0.419,-0.5106,Negative,0
71,71,2022-04-25 17:03:05+00:00,1518636726650306560,700club,25545091,"@700club @kayleighmcenany given the holocaust, ukraine, floods , disease , if god is still working, he should be fired immediately!",indepen94536694,independent,Fri Jan 01 01:38:35 +0000 2021,[],given holocaust ukraine floods disease god still working fired immediately,0.153,0.263,-0.3612,Negative,0
72,72,2022-04-25 17:03:02+00:00,1518636715723956225,,,"rt @profstrachan: after the relentless rain, #southafrica sounds the alarm on the #climatecrisis 

“it is catastrophe of enormous proportio…",PeanutDry,DryRoastedPeanut,Sun Jun 24 15:43:47 +0000 2012,[],relentless rain #southafrica sounds alarm #climatecrisis catastrophe enormous propoio,0.086,0.486,-0.765,Negative,0
73,73,2022-04-25 17:02:53+00:00,1518636676360417280,,,"rt @notsoaidil: chulalongkorn park in bangkok, thailand keeps the city safe from floods. it can hold one million gallons of water during se…",MHZ_Rollins,FullofHafiy,Mon Jun 04 02:28:17 +0000 2012,[],chulalongkorn park bangkok thailand keeps city safe floods hold one million gallons water se,0.182,0.0,0.4404,Positive,1
74,74,2022-04-25 17:02:35+00:00,1518636602213695488,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,mayrahkeejayb,ʚgotsebabeɞ,Sat Dec 09 04:40:42 +0000 2017,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
75,75,2022-04-25 17:02:32+00:00,1518636591425544193,,,"rt @bharath6926: he donoted highest amount of money to the government at the time of corana crisis,he donoted 1cr for hyderabad floods ,he…",sunil_cracker,Cracker 🏹,Sat Jul 29 10:22:21 +0000 2017,[],donoted highest amount money government time corana crisis donoted cr hyderabad floods,0.0,0.272,-0.6249,Negative,0
76,76,2022-04-25 17:02:31+00:00,1518636586078027784,,,"in the united states, floods are the most common natural disaster, but flooding can come from other situations too.… ",AskQRealEstate,Ken Jackson,Mon Jun 07 18:03:45 +0000 2010,"[{'url': 'https://t.co/bL26DbrKej', 'expanded_url': 'https://twitter.com/i/web/status/1518636586078027784', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",united states floods common natural disaster flooding come situations,0.344,0.266,0.0516,Positive,1
